User Input,Polarity,Extracted Concern,Category,Intensity
My anxiety attacks make me unable to eat when stressed.,Negative,unable to eat,Eating Disorder,1
The weekend parties next door leave me unable to sleep.,Negative,unable to sleep,Insomnia,1
I'm feeling hopeful about healing.,Positive,feeling hopeful,Positive Outlook,3
I'm a little stressed about the weather forecast.,Negative,little stressed,Stress,2
I'm a little stressed about the minor surgery.,Negative,little stressed,Stress,2
I'm completely broken with sadness,Negative,sad,Anxiety,4
With my health history I'm worried about health patterns.,Negative,worried about health,Health Anxiety,3
Sadness overwhelms me today,Negative,sadness,Anxiety,4
With my heart rate I'm worried about health indicators.,Negative,worried about health,Health Anxiety,3
Feeling happy and alive,Positive,feeling happy,Positive Outlook,3
My mistakes have me feeling depressed.,Negative,feeling depressed,Depression,4
I'm a little stressed about the upcoming team dinner.,Negative,little stressed,Stress,2
I've been feeling depressed since losing my job.,Negative,feeling depressed,Depression,4
The family reunion has me very stressed about organizing everything.,Negative,very stressed,Stress,4
I'm feeling hopeful about my dreams.,Positive,feeling hopeful,Positive Outlook,3
The summer heat means I can't sleep well even with the fan on.,Negative,can't sleep well,Insomnia,2
I'm thoroughly sad now,Negative,sad,Anxiety,4
I'm feeling depressed about my career path.,Negative,feeling depressed,Depression,4
I'm feeling hopeful about us now.,Positive,feeling hopeful,Positive Outlook,3
My health issues have me extremely stressed.,Negative,extremely stressed,Stress,4
My irregular schedule means I can't sleep well during normal hours.,Negative,can't sleep well,Insomnia,2
The budget cuts have me very stressed.,Negative,very stressed,Stress,4
My cold makes me unable to eat hot foods.,Negative,unable to eat,Eating Disorder,1
The mortgage application has me extremely stressed.,Negative,extremely stressed,Stress,4
I am sad about the news,Negative,sad,Anxiety,4
My new home has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
Feeling sad and alone,Negative,feeling sad,Anxiety,4
My heart is consumed by sadness,Negative,sadness,Anxiety,4
This loud alarm has me feeling depressed.,Negative,feeling depressed,Depression,4
I'm feeling sad beyond measure,Negative,feeling sad,Anxiety,4
The ongoing investigation has me extremely stressed.,Negative,extremely stressed,Stress,4
I'm thoroughly sad now,Negative,sad,Anxiety,4
My chronic condition has me distressed over health management.,Negative,distressed over health,Health Anxiety,4
Cooking for guests makes me a little stressed.,Negative,little stressed,Stress,2
Without meal times I'm not eating properly anymore.,Negative,not eating properly,Eating Disorder,1
These family arguments have me feeling depressed.,Negative,feeling depressed,Depression,4
I'm completely sad now,Negative,sad,Anxiety,4
This loneliness stays with me,Negative,loneliness,Anxiety,3
Since diagnosis received I'm worried about health future.,Negative,worried about health,Health Anxiety,3
I'm naturally lonely today,Negative,lonely,Anxiety,3
Feeling sad and vulnerable,Negative,feeling sad,Anxiety,4
I'm completely broken with sadness,Negative,sad,Anxiety,4
After health changes I'm worried about health stability.,Negative,worried about health,Health Anxiety,3
I'm constantly worried about my retirement savings.,Negative,constantly worried,Anxiety,2
The heartburn makes me unable to eat spicy foods.,Negative,unable to eat,Eating Disorder,1
The house move has me very stressed right now.,Negative,very stressed,Stress,4
Since starting this medication I have trouble sleeping through the night.,Negative,have trouble sleeping,Insomnia,4
My lost keys have me feeling depressed.,Negative,feeling depressed,Depression,4
The ongoing fatigue has me distressed over health concerns.,Negative,distressed over health,Health Anxiety,4
This medical diagnosis has me extremely stressed and worried.,Negative,extremely stressed,Stress,4
The sales targets have me very stressed about quotas.,Negative,very stressed,Stress,4
My broken watch has me feeling depressed.,Negative,feeling depressed,Depression,4
My heart brims with happiness,Positive,happiness,Positive Outlook,3
These persistent headaches have me distressed over health status.,Negative,distressed over health,Health Anxiety,4
I'm overwhelmingly sad today,Negative,sad,Anxiety,4
I'm feeling hopeful about my studies.,Positive,feeling hopeful,Positive Outlook,3
Feeling lonely and apart,Negative,feeling lonely,Anxiety,3
I'm sad,Negative,sad,Anxiety,4
Feeling lonely and separate,Negative,feeling lonely,Anxiety,3
The board meeting has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
Loneliness surrounds me today,Negative,loneliness,Anxiety,3
The legal dispute has me extremely stressed and anxious.,Negative,extremely stressed,Stress,4
I'm constantly worried about identity theft.,Negative,constantly worried,Anxiety,2
With my medication reactions I'm worried about health responses.,Negative,worried about health,Health Anxiety,3
The humidity makes me have trouble sleeping without air conditioning.,Negative,have trouble sleeping,Insomnia,4
Music has me feeling little better.,Positive,feeling little better,Positive Outlook,3
The talk has me feeling much better.,Positive,feeling much better,Positive Outlook,3
These muscle pains have me distressed over health condition.,Negative,distressed over health,Health Anxiety,3
After postponing treatment I'm worried about health progression.,Negative,worried about health,Health Anxiety,2
My wrinkled shirt has me feeling depressed.,Negative,feeling depressed,Depression,4
I'm constantly worried about education costs.,Negative,constantly worried,Anxiety,2
This concert has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
The family issues have me very stressed about holidays.,Negative,very stressed,Stress,4
Feeling sad and defeated,Negative,feeling sad,Anxiety,4
With my breathing issues I'm worried about health concerns.,Negative,worried about health,Health Anxiety,2
Missing home has me feeling very low.,Negative,feeling very low,Depression,2
Social isolation has me feeling very low.,Negative,feeling very low,Depression,2
After the physical exam I'm worried about health findings.,Negative,worried about health,Health Anxiety,2
The calm has me feeling much better.,Positive,feeling much better,Positive Outlook,3
My mouth ulcers make me unable to eat spicy food.,Negative,unable to eat,Eating Disorder,1
This raise has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
Thunderstorms make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
The small errand has me a little stressed but doable.,Negative,little stressed,Stress,2
These medical concerns have me distressed over health outcomes.,Negative,distressed over health,Health Anxiety,3
The past month I have trouble sleeping and feel completely drained.,Negative,have trouble sleeping,Insomnia,4
The upcoming surgery has me extremely stressed.,Negative,extremely stressed,Stress,4
The health screening has me distressed over health findings.,Negative,distressed over health,Health Anxiety,3
The project deadline has me very stressed about completion.,Negative,very stressed,Stress,4
The interview result has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
Feeling sad and devastated,Negative,feeling sad,Anxiety,4
These results have me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm naturally happy today,Positive,happy,Positive Outlook,3
I'm sad,Negative,sad,Anxiety,4
The routine maintenance has me a little stressed today.,Negative,little stressed,Stress,2
Feeling sad and broken,Negative,feeling sad,Anxiety,4
I'm constantly worried about online scams.,Negative,constantly worried,Anxiety,2
I am sad today,Negative,sad,Anxiety,4
With my chronic pain I'm worried about health management.,Negative,worried about health,Health Anxiety,3
I'm feeling hopeful about my skills.,Positive,feeling hopeful,Positive Outlook,3
Feeling sad and helpless,Negative,feeling sad,Anxiety,4
As a volunteer I'm not eating properly between tasks.,Negative,not eating properly,Eating Disorder,1
The full moon makes me unable to sleep most nights.,Negative,unable to sleep,Insomnia,1
Loneliness surrounds my thoughts,Negative,loneliness,Anxiety,3
Such loneliness in my heart,Negative,loneliness,Anxiety,3
I'm perfectly happy now,Positive,happy,Positive Outlook,3
Sadness has taken over me,Negative,sadness,Anxiety,4
Meetings make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
The medical evaluation has me distressed over health status.,Negative,distressed over health,Health Anxiety,3
With my irregular heartbeat I'm worried about health risks.,Negative,worried about health,Health Anxiety,2
The chronic issues have me distressed over health management.,Negative,distressed over health,Health Anxiety,3
Feeling sad and drained,Negative,feeling sad,Anxiety,4
This concert has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
Cooking has me feeling little better.,Positive,feeling little better,Positive Outlook,3
I am sad about the news,Negative,sad,Anxiety,4
This bonus has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm a little stressed about the weekend weather forecast.,Negative,little stressed,Stress,2
The family conflict has me feeling very low.,Negative,feeling very low,Depression,2
Feeling happy and optimistic,Positive,feeling happy,Positive Outlook,3
I'm intensely sad right now,Negative,sad,Anxiety,4
The family reunion has me very stressed about organizing everything.,Negative,very stressed,Stress,4
My heart echoes with loneliness,Negative,loneliness,Anxiety,3
The eviction notice has me extremely stressed and scared.,Negative,extremely stressed,Stress,4
Driving in snow makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
My irregular work schedule means I'm unable to sleep normally.,Negative,unable to sleep,Insomnia,1
